Date,Customer ID,Truck ID,Invoice Number,Freight ID,City,Net Revenue,Weight (Kg),Weight (Cubic),Goods Value
2018-01-08,8649,5,776100,08/01/2018:MKP-6610,Woodland Heights,19.27,28.37,39.0,642.01
2018-01-08,9260,5,776099,08/01/2018:MKP-6610,Woodland Heights,7.07,9.22,57.0,235.63
2018-01-09,38670,5,776471,09/01/2018:MKP-6610,Woodland Heights,5.55,1.74,3.0,185.01
2018-01-09,35508,5,776478,09/01/2018:MKP-6610,Woodland Heights,5.64,1.74,3.0,188.12
2018-01-09,39434,5,776649,09/01/2018:MKP-6610,Woodland Heights,7.22,2.75,3.0,240.58
2018-01-09,3001,5,776472,09/01/2018:MKP-6610,Woodland Heights,6.11,2.79,3.0,203.63
2018-01-09,4355,5,776646,09/01/2018:MKP-6610,Woodland Heights,12.6,7.27,9.0,420.03
2018-01-09,13722,5,776642,09/01/2018:MKP-6610,Woodland Heights,12.64,6.82,9.0,421.25
2018-01-09,10166,5,776480,09/01/2018:MKP-6610,Woodland Heights,10.86,8.34,18.0,361.94
2018-01-09,31875,5,776643,09/01/2018:MKP-6610,Woodland Heights,27.2,22.99,24.0,906.65
2018-01-09,21857,5,776647,09/01/2018:MKP-6610,Woodland Heights,15.35,13.56,24.0,511.66
2018-01-09,24586,5,776482,09/01/2018:MKP-6610,Woodland Heights,5.96,6.83,27.0,198.69
2018-01-09,7046,5,776477,09/01/2018:MKP-6610,Woodland Heights,29.64,18.97,33.0,987.92
2018-01-09,8649,5,776648,09/01/2018:MKP-6610,Woodland Heights,11.8,24.08,33.0,393.23
2018-01-09,4904,5,776641,09/01/2018:MKP-6610,Woodland Heights,121.11,126.51,147.0,4036.89
2018-01-09,39993,5,776645,09/01/2018:MKP-6610,Woodland Heights,8.18,8.73,8.73,272.78
2018-01-09,7046,5,776475,09/01/2018:MKP-6610,Woodland Heights,13.88,10.73,10.73,462.83
2018-01-09,11914,5,776484,09/01/2018:MKP-6610,Woodland Heights,12.86,28.01,28.01,428.35
2018-01-09,39933,5,776479,09/01/2018:MKP-6610,Woodland Heights,23.33,23.13,36.0,777.83
2018-01-09,7046,5,776476,09/01/2018:MKP-6610,Woodland Heights,113.39,120.37,120.37,3779.33
2018-01-09,31875,5,776644,09/01/2018:MKP-6610,Woodland Heights,36.73,43.27,43.27,1224.17
2018-01-09,33881,5,776474,09/01/2018:MKP-6610,Woodland Heights,20.46,23.68,72.0,681.94
2018-01-09,10166,5,776481,09/01/2018:MKP-6610,Woodland Heights,18.39,27.54,27.54,612.84
2018-01-09,3001,5,776473,09/01/2018:MKP-6610,Woodland Heights,13.2,38.11,38.11,439.89
2018-01-09,31930,5,776606,09/01/2018:MKP-6610,Woodland Heights,36.65,116.04,116.04,572.68
2018-01-09,39933,5,776607,09/01/2018:MKP-6610,Woodland Heights,66.94,183.48,183.48,1045.98
2018-01-09,10166,5,776605,09/01/2018:MKP-6610,Woodland Heights,14.87,18.77,18.77,232.3
2018-01-09,18172,5,776609,09/01/2018:MKP-6610,Woodland Heights,59.49,189.31,189.31,929.6
2018-01-10,25446,19,777121,10/01/2018:MDB-1602,Woodland Heights,6.3,2.07,3.0,209.96
2018-01-10,33143,19,777122,10/01/2018:MDB-1602,Woodland Heights,3.66,6.52,9.0,121.91
2018-01-10,27178,19,777120,10/01/2018:MDB-1602,Woodland Heights,11.63,20.76,20.76,387.83
2018-01-10,4752,19,777119,10/01/2018:MDB-1602,Woodland Heights,7.31,6.2,6.2,243.57
2018-01-11,14075,5,777558,11/01/2018:MKP-6610,Woodland Heights,394.78,633.32,699.0,13159.26
2018-01-11,14075,5,777557,11/01/2018:MKP-6610,Woodland Heights,4.02,4.0,4.0,133.87
2018-01-11,22843,5,777559,11/01/2018:MKP-6610,Woodland Heights,20.11,44.54,48.0,670.44
2018-01-11,4752,5,777539,11/01/2018:MKP-6610,Woodland Heights,90.42,438.31,438.31,1412.85
2018-01-17,24063,4,779789,17/01/2018:MHJ-9634,Woodland Heights,6.19,2.07,3.0,206.49
2018-01-17,38550,4,779793,17/01/2018:MHJ-9634,Woodland Heights,17.45,12.0,12.0,581.8
2018-01-17,40259,4,779795,17/01/2018:MHJ-9634,Woodland Heights,13.16,11.26,21.0,438.55
2018-01-17,22247,4,779790,17/01/2018:MHJ-9634,Woodland Heights,13.95,16.57,33.0,464.85
2018-01-17,16619,4,779796,17/01/2018:MHJ-9634,Woodland Heights,27.61,26.91,54.0,920.62
2018-01-17,6645,4,779794,17/01/2018:MHJ-9634,Woodland Heights,7.92,4.39,4.39,263.86
2018-01-17,25446,4,779791,17/01/2018:MHJ-9634,Woodland Heights,29.72,69.87,69.87,990.71
2018-01-17,39434,4,779792,17/01/2018:MHJ-9634,Woodland Heights,9.92,9.64,9.64,330.22
2018-01-29,14075,24,784694,29/01/2018:MMA-5916,Woodland Heights,1.87,2.0,3.0,62.42
2018-01-29,4904,24,784696,29/01/2018:MMA-5916,Woodland Heights,10.67,3.71,6.0,355.6
2018-01-29,31194,24,784697,29/01/2018:MMA-5916,Woodland Heights,3.34,4.52,6.0,111.3
2018-01-29,31194,24,784698,29/01/2018:MMA-5916,Woodland Heights,28.22,8.7,12.0,940.6
2018-01-29,10780,24,784699,29/01/2018:MMA-5916,Woodland Heights,9.07,7.42,7.42,302.41
2018-01-29,14075,24,784695,29/01/2018:MMA-5916,Woodland Heights,0.45,2.82,2.82,15.02
2018-02-26,38811,6,798580,26/02/2018:MHN-5539,Woodland Heights,6.39,1.75,3.0,212.98
2018-02-26,39400,6,798578,26/02/2018:MHN-5539,Woodland Heights,22.73,7.41,15.0,757.71
2018-02-26,35550,6,798582,26/02/2018:MHN-5539,Woodland Heights,6.14,4.48,15.0,205.12
2018-02-26,38811,6,798579,26/02/2018:MHN-5539,Woodland Heights,6.2,2.49,2.49,206.77
2018-02-26,32418,6,798583,26/02/2018:MHN-5539,Woodland Heights,4.31,3.51,3.51,143.59
2018-02-26,35550,6,798581,26/02/2018:MHN-5539,Woodland Heights,0.08,1.0,1.0,2.9
2018-02-28,13133,6,801005,28/02/2018:MHN-5539,Woodland Heights,6.39,1.75,3.0,212.98
2018-02-28,13133,6,801004,28/02/2018:MHN-5539,Woodland Heights,23.39,31.75,39.0,779.64
2018-02-28,13133,6,801003,28/02/2018:MHN-5539,Woodland Heights,0.08,1.0,1.0,2.9
2018-03-12,35550,24,805675,12/03/2018:MMA-5916,Woodland Heights,6.96,3.01,6.0,232.13
2018-03-12,13133,24,805667,12/03/2018:MMA-5916,Woodland Heights,15.8,29.39,29.39,526.18
2018-03-12,15823,24,805666,12/03/2018:MMA-5916,Woodland Heights,14.73,28.86,28.86,490.88
2018-03-12,38811,24,805668,12/03/2018:MMA-5916,Woodland Heights,5.83,2.6,2.6,194.3
2018-03-22,15823,7,811658,22/03/2018:MJT-5239,Woodland Heights,2.47,2.82,9.0,82.28
2018-03-22,15823,7,811660,22/03/2018:MJT-5239,Woodland Heights,0.08,0.16,0.16,2.53
2018-03-22,15823,7,811659,22/03/2018:MJT-5239,Woodland Heights,0.53,0.31,0.31,17.59
2018-04-05,14075,23,817849,05/04/2018:MMA-4836,Woodland Heights,170.27,224.75,224.75,5675.42
2018-04-05,4904,23,817850,05/04/2018:MMA-4836,Woodland Heights,109.45,197.14,197.14,3648.13
2018-04-12,39400,19,820463,12/04/2018:MDB-1602,Woodland Heights,8.57,4.16,4.16,285.75
2018-04-26,39400,19,826436,26/04/2018:MDB-1602,Woodland Heights,2.82,1.42,3.0,80.7
2018-04-26,35550,19,826435,26/04/2018:MDB-1602,Woodland Heights,3.46,6.58,6.58,98.9
2018-05-03,35550,19,829255,03/05/2018:MDB-1602,Woodland Heights,7.77,12.14,21.0,222.1
2018-05-03,32418,19,829254,03/05/2018:MDB-1602,Woodland Heights,6.25,8.85,8.85,178.67
2018-05-21,35550,19,836904,21/05/2018:MDB-1602,Woodland Heights,6.92,2.01,3.0,197.61
2018-05-21,15823,19,836910,21/05/2018:MDB-1602,Woodland Heights,5.25,5.44,6.0,150.14
2018-05-30,39400,19,839749,30/05/2018:MDB-1602,Woodland Heights,6.73,7.23,12.0,192.68
2018-05-30,39400,19,839748,30/05/2018:MDB-1602,Woodland Heights,0.19,0.11,0.11,5.35
2018-06-11,38811,19,843943,11/06/2018:MDB-1602,Woodland Heights,14.45,20.8,45.0,412.79
2018-06-11,39400,19,843944,11/06/2018:MDB-1602,Woodland Heights,12.65,11.54,11.54,361.39
2018-06-18,5994,24,846293,18/06/2018:MMA-5916,Woodland Heights,2.08,1.29,3.0,59.4
2018-06-18,5994,24,846294,18/06/2018:MMA-5916,Woodland Heights,2.08,1.29,3.0,59.4
2018-06-18,5994,24,846295,18/06/2018:MMA-5916,Woodland Heights,1.04,0.64,0.64,29.7
2018-06-18,5994,24,846296,18/06/2018:MMA-5916,Woodland Heights,567.45,1311.7,3795.0,16212.77
2018-06-18,5994,24,846292,18/06/2018:MMA-5916,Woodland Heights,1.04,0.64,0.64,29.7
2018-06-18,35550,23,846785,18/06/2018:MMA-4836,Woodland Heights,7.18,3.45,9.0,205.04
2018-06-18,15823,23,846787,18/06/2018:MMA-4836,Woodland Heights,11.04,5.29,9.0,315.42
2018-06-18,39400,23,846789,18/06/2018:MMA-4836,Woodland Heights,24.61,11.2,15.0,703.39
2018-06-18,38281,23,846788,18/06/2018:MMA-4836,Woodland Heights,3.8,14.12,33.0,108.36
2018-06-18,38811,23,846786,18/06/2018:MMA-4836,Woodland Heights,7.42,3.12,3.12,211.97
2018-06-18,39400,23,846790,18/06/2018:MMA-4836,Woodland Heights,0.81,0.6,0.6,23.0
2018-06-21,39400,19,849184,21/06/2018:MDB-1602,Woodland Heights,12.65,11.54,11.54,361.39
2018-06-21,13133,19,849185,21/06/2018:MDB-1602,Woodland Heights,0.19,0.11,0.11,5.35
2018-06-21,39400,19,849183,21/06/2018:MDB-1602,Woodland Heights,2.48,0.3,0.3,70.73
2018-06-21,13133,19,849186,21/06/2018:MDB-1602,Woodland Heights,24.96,34.03,54.0,713.17
2018-06-30,37142,22,853241,30/06/2018:MMA-5926,Woodland Heights,3.45,4.84,9.0,98.19
2018-06-30,37142,22,853242,30/06/2018:MMA-5926,Woodland Heights,0.7,0.33,0.33,19.97
2018-06-30,14075,22,853638,30/06/2018:MMA-5926,Woodland Heights,90.47,256.84,321.0,2584.78
2018-07-03,18800,22,854103,03/07/2018:MMA-5926,Woodland Heights,6.86,2.07,3.0,195.71
2018-07-03,39993,22,854104,03/07/2018:MMA-5926,Woodland Heights,8.39,9.06,9.06,239.73
2018-07-04,37392,22,854666,04/07/2018:MMA-5926,Woodland Heights,7.2,3.44,6.0,205.96
2018-07-04,4355,22,854669,04/07/2018:MMA-5926,Woodland Heights,14.36,10.25,12.0,410.37
2018-07-04,21857,22,854671,04/07/2018:MMA-5926,Woodland Heights,25.08,13.25,24.0,716.99
2018-07-04,27270,22,854668,04/07/2018:MMA-5926,Woodland Heights,7.28,15.51,33.0,207.87
2018-07-04,3159,22,854670,04/07/2018:MMA-5926,Woodland Heights,7.14,4.09,4.09,204.09
2018-07-04,4356,22,854667,04/07/2018:MMA-5926,Woodland Heights,7.45,3.8,3.8,212.81
2018-07-04,4904,22,854665,04/07/2018:MMA-5926,Woodland Heights,83.59,153.6,207.0,2388.27
2018-07-04,2131,22,854672,04/07/2018:MMA-5926,Woodland Heights,9.8,9.66,54.0,280.14
2018-07-16,35550,19,859066,16/07/2018:MDB-1602,Woodland Heights,8.33,6.43,15.0,185.2
2018-07-16,38281,19,859068,16/07/2018:MDB-1602,Woodland Heights,3.81,7.26,21.0,84.68
2018-07-16,13133,19,859060,16/07/2018:MDB-1602,Woodland Heights,37.66,28.89,48.0,837.0
2018-07-16,32418,19,859067,16/07/2018:MDB-1602,Woodland Heights,19.17,19.73,19.73,425.9
2018-07-30,15823,19,865373,30/07/2018:MDB-1602,Woodland Heights,9.16,3.45,6.0,203.45
2018-07-30,35550,19,865371,30/07/2018:MDB-1602,Woodland Heights,17.13,15.61,21.0,380.74
2018-07-30,39400,19,865376,30/07/2018:MDB-1602,Woodland Heights,54.11,22.1,27.0,1202.49
2018-07-30,38811,19,865372,30/07/2018:MDB-1602,Woodland Heights,21.18,15.94,15.94,470.68
2018-07-30,38281,19,865374,30/07/2018:MDB-1602,Woodland Heights,10.2,21.94,45.0,226.85
2018-07-30,39400,19,865375,30/07/2018:MDB-1602,Woodland Heights,0.31,0.46,0.46,6.85
2018-07-31,13133,19,866917,31/07/2018:MDB-1602,Woodland Heights,0.98,0.84,3.0,21.63
2018-07-31,13133,19,866918,31/07/2018:MDB-1602,Woodland Heights,33.67,21.5,24.0,748.45
2018-07-31,39400,19,866919,31/07/2018:MDB-1602,Woodland Heights,3.18,0.3,0.3,70.73
2018-08-27,38811,4,877995,27/08/2018:MHJ-9634,Woodland Heights,8.61,2.79,3.0,191.39
2018-08-27,35550,4,877991,27/08/2018:MHJ-9634,Woodland Heights,8.59,6.81,18.0,190.78
2018-08-27,39400,4,877996,27/08/2018:MHJ-9634,Woodland Heights,15.43,11.24,21.0,342.8
2018-08-27,32418,4,877994,27/08/2018:MHJ-9634,Woodland Heights,7.07,5.96,5.96,157.04
2018-08-27,39400,4,877997,27/08/2018:MHJ-9634,Woodland Heights,0.36,0.98,0.98,8.0
2018-10-22,38811,4,903088,22/10/2018:MHJ-9634,Woodland Heights,13.39,5.83,9.0,297.28
2018-10-22,35550,4,903102,22/10/2018:MHJ-9634,Woodland Heights,11.07,4.09,9.0,245.93
2018-10-22,38811,4,903087,22/10/2018:MHJ-9634,Woodland Heights,10.61,14.37,15.0,235.83
2018-10-22,32418,4,903104,22/10/2018:MHJ-9634,Woodland Heights,17.83,8.83,12.0,396.15
2018-10-22,38281,4,903105,22/10/2018:MHJ-9634,Woodland Heights,11.94,12.5,33.0,265.39
2018-10-22,39400,4,903106,22/10/2018:MHJ-9634,Woodland Heights,1.41,1.98,1.98,31.28
2018-10-22,39400,4,903107,22/10/2018:MHJ-9634,Woodland Heights,56.6,77.4,77.4,1257.73
2018-12-17,14075,34,931833,17/12/2018:MHN-5439,Woodland Heights,53.65,9.27,15.0,1072.91
2018-12-17,14075,34,931835,17/12/2018:MHN-5439,Woodland Heights,437.42,637.8,789.0,8748.34
2018-12-17,14075,34,931834,17/12/2018:MHN-5439,Woodland Heights,1622.54,1672.14,1672.14,32450.88
2019-02-05,39933,34,947920,05/02/2019:MHN-5439,Woodland Heights,10.08,3.0,3.0,201.6
2019-02-05,23104,34,947927,05/02/2019:MHN-5439,Woodland Heights,2.22,1.68,3.0,44.32
2019-02-05,6125,34,947924,05/02/2019:MHN-5439,Woodland Heights,20.51,8.18,9.0,410.29
2019-02-05,11914,34,947916,05/02/2019:MHN-5439,Woodland Heights,15.7,20.81,30.0,313.91
2019-02-05,7046,34,947855,05/02/2019:MHN-5439,Woodland Heights,30.08,40.33,40.33,601.74
2019-02-05,7046,34,947856,05/02/2019:MHN-5439,Woodland Heights,275.8,286.25,357.0,5516.05
2019-02-05,42990,34,947923,05/02/2019:MHN-5439,Woodland Heights,24.93,14.37,14.37,498.54
2019-02-05,11914,34,947915,05/02/2019:MHN-5439,Woodland Heights,0.75,0.48,0.48,14.95
2019-02-05,34044,34,947925,05/02/2019:MHN-5439,Woodland Heights,0.36,0.36,0.36,7.21
2019-02-05,39781,34,947919,05/02/2019:MHN-5439,Woodland Heights,0.72,0.72,0.72,14.42
2019-02-05,34044,34,947926,05/02/2019:MHN-5439,Woodland Heights,16.47,23.11,23.11,329.45
2019-02-05,39933,34,947921,05/02/2019:MHN-5439,Woodland Heights,35.61,30.13,48.0,712.28
2019-02-05,39781,34,947918,05/02/2019:MHN-5439,Woodland Heights,18.19,17.26,45.0,363.77
2019-02-05,23104,34,947928,05/02/2019:MHN-5439,Woodland Heights,53.92,46.51,135.0,1078.21
2019-02-05,42990,34,947922,05/02/2019:MHN-5439,Woodland Heights,1.45,1.44,1.44,28.84
2019-02-18,13722,19,953707,18/02/2019:MDB-1602,Woodland Heights,18.57,2.72,6.0,371.34
2019-02-18,39933,19,953710,18/02/2019:MDB-1602,Woodland Heights,24.58,12.26,15.0,491.62
2019-02-18,36844,19,953708,18/02/2019:MDB-1602,Woodland Heights,7.27,4.36,4.36,145.49
2019-02-18,43143,19,953709,18/02/2019:MDB-1602,Woodland Heights,11.86,9.41,9.41,237.05
2019-02-18,18172,19,953738,18/02/2019:MDB-1602,Woodland Heights,10.51,38.42,38.42,175.2
2019-02-18,39933,19,953739,18/02/2019:MDB-1602,Woodland Heights,32.27,99.42,99.42,537.9
2019-02-22,31194,29,956744,22/02/2019:MML-3632,Woodland Heights,53.04,9.28,18.0,1060.85
2019-02-22,21857,29,956743,22/02/2019:MML-3632,Woodland Heights,15.33,9.3,18.0,306.4
2019-02-22,4904,29,956745,22/02/2019:MML-3632,Woodland Heights,2.31,10.37,39.0,46.22
2019-02-22,4904,29,956746,22/02/2019:MML-3632,Woodland Heights,254.64,40.56,144.0,5092.73
2019-02-25,22843,19,957326,25/02/2019:MDB-1602,Woodland Heights,10.12,17.77,17.77,202.48
2019-02-25,10166,19,957327,25/02/2019:MDB-1602,Woodland Heights,54.11,93.02,108.0,1082.15
2019-02-26,3159,29,957968,26/02/2019:MML-3632,Woodland Heights,9.84,1.74,3.0,196.81
2019-02-26,42990,29,957956,26/02/2019:MML-3632,Woodland Heights,9.59,8.3,21.0,191.82
2019-02-26,9390,29,957960,26/02/2019:MML-3632,Woodland Heights,0.75,0.48,0.48,14.95
2019-02-26,43103,29,957967,26/02/2019:MML-3632,Woodland Heights,9.42,7.03,7.03,188.48
2019-02-26,8649,29,957966,26/02/2019:MML-3632,Woodland Heights,22.93,24.74,36.0,458.64
2019-02-26,37392,29,957953,26/02/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-02-26,43111,29,957951,26/02/2019:MML-3632,Woodland Heights,5.33,4.97,4.97,106.37
2019-02-26,35508,29,957957,26/02/2019:MML-3632,Woodland Heights,62.72,21.39,21.39,1254.37
2019-02-26,9390,29,957962,26/02/2019:MML-3632,Woodland Heights,42.04,37.79,60.0,840.74
2019-02-26,12891,29,957964,26/02/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-02-26,15450,29,957958,26/02/2019:MML-3632,Woodland Heights,13.9,4.34,4.34,277.91
2019-02-26,43111,29,957952,26/02/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-02-26,9390,29,957963,26/02/2019:MML-3632,Woodland Heights,36.99,24.99,24.99,739.84
2019-02-26,43143,29,957955,26/02/2019:MML-3632,Woodland Heights,10.16,10.51,10.51,203.19
2019-02-26,37392,29,957954,26/02/2019:MML-3632,Woodland Heights,37.92,41.48,42.0,758.14
2019-02-26,12891,29,957965,26/02/2019:MML-3632,Woodland Heights,13.17,11.04,11.04,263.38
2019-02-26,10166,29,957959,26/02/2019:MML-3632,Woodland Heights,1.61,3.92,3.92,32.4
2019-02-26,9390,29,957961,26/02/2019:MML-3632,Woodland Heights,1.61,3.92,3.92,32.4
2019-02-28,37392,29,959567,28/02/2019:MML-3632,Woodland Heights,9.08,28.36,51.0,181.84
2019-02-28,37392,29,959566,28/02/2019:MML-3632,Woodland Heights,0.29,1.06,1.06,5.87
2019-03-01,13722,29,960197,01/03/2019:MML-3632,Woodland Heights,0.49,0.15,0.15,9.8
2019-03-01,31875,29,960198,01/03/2019:MML-3632,Woodland Heights,0.49,0.15,0.15,9.8
2019-03-01,4904,29,960684,01/03/2019:MML-3632,Woodland Heights,22.98,55.66,57.0,459.62
2019-03-01,11914,29,960196,01/03/2019:MML-3632,Woodland Heights,0.49,0.15,0.15,9.8
2019-03-01,37142,29,960199,01/03/2019:MML-3632,Woodland Heights,0.49,0.15,0.15,9.8
2019-03-06,13722,29,961939,06/03/2019:MML-3632,Woodland Heights,5.83,15.07,27.0,116.7
2019-03-06,11914,29,961931,06/03/2019:MML-3632,Woodland Heights,9.83,11.3,36.0,196.66
2019-03-06,39993,29,961933,06/03/2019:MML-3632,Woodland Heights,22.51,15.91,15.91,450.15
2019-03-06,7046,29,961935,06/03/2019:MML-3632,Woodland Heights,52.54,9.28,42.0,1050.86
2019-03-06,34044,29,961937,06/03/2019:MML-3632,Woodland Heights,4.41,6.02,6.02,88.11
2019-03-06,10308,29,961934,06/03/2019:MML-3632,Woodland Heights,12.45,34.19,63.0,249.03
2019-03-06,39781,29,961932,06/03/2019:MML-3632,Woodland Heights,19.11,14.03,42.0,382.22
2019-03-06,31847,29,961936,06/03/2019:MML-3632,Woodland Heights,4.67,2.03,2.03,93.3
2019-03-06,14075,29,961943,06/03/2019:MML-3632,Woodland Heights,118.1,382.4,687.0,2362.0
2019-03-06,14075,29,961942,06/03/2019:MML-3632,Woodland Heights,11.55,38.24,69.0,231.1
2019-03-06,37142,29,961938,06/03/2019:MML-3632,Woodland Heights,4.08,1.17,1.17,81.56
2019-03-11,4904,29,964134,11/03/2019:MML-3632,Woodland Heights,10.61,1.88,3.0,212.17
2019-03-11,35061,29,964135,11/03/2019:MML-3632,Woodland Heights,20.8,50.26,50.26,415.97
2019-03-11,10166,29,964101,11/03/2019:MML-3632,Woodland Heights,9.65,5.4,5.4,193.0
2019-03-11,36895,29,964136,11/03/2019:MML-3632,Woodland Heights,10.96,18.73,18.73,219.27
2019-03-11,33389,29,964137,11/03/2019:MML-3632,Woodland Heights,43.2,47.06,47.06,864.26
2019-03-12,41983,29,964875,12/03/2019:MML-3632,Woodland Heights,10.4,13.94,15.0,207.91
2019-03-12,2131,29,964876,12/03/2019:MML-3632,Woodland Heights,10.64,6.95,18.0,212.74
2019-03-12,12891,29,964873,12/03/2019:MML-3632,Woodland Heights,14.02,7.73,7.73,280.33
2019-03-12,41983,29,964874,12/03/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-03-12,12891,29,964872,12/03/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-03-12,37392,29,964870,12/03/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-03-12,37392,29,964871,12/03/2019:MML-3632,Woodland Heights,27.61,19.47,19.47,552.21
2019-03-13,4355,29,965421,13/03/2019:MML-3632,Woodland Heights,21.18,9.18,12.0,423.66
2019-03-13,21857,29,965424,13/03/2019:MML-3632,Woodland Heights,26.08,12.51,24.0,521.87
2019-03-13,27270,29,965419,13/03/2019:MML-3632,Woodland Heights,0.41,0.98,0.98,8.1
2019-03-13,6645,29,965422,13/03/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-03-13,31930,29,965418,13/03/2019:MML-3632,Woodland Heights,28.55,22.29,22.29,571.08
2019-03-13,6645,29,965423,13/03/2019:MML-3632,Woodland Heights,11.27,4.37,4.37,225.23
2019-03-13,27270,29,965420,13/03/2019:MML-3632,Woodland Heights,9.41,3.03,3.03,188.15
2019-03-14,16517,29,966266,14/03/2019:MML-3632,Woodland Heights,26.18,5.35,6.0,523.59
2019-03-14,14075,29,966260,14/03/2019:MML-3632,Woodland Heights,55.29,11.85,15.0,1105.81
2019-03-14,24063,29,966263,14/03/2019:MML-3632,Woodland Heights,4.27,7.34,21.0,85.38
2019-03-14,42996,29,966265,14/03/2019:MML-3632,Woodland Heights,104.93,19.14,24.0,2098.69
2019-03-14,4904,29,966262,14/03/2019:MML-3632,Woodland Heights,365.27,138.84,252.0,7305.26
2019-03-14,24063,29,966264,14/03/2019:MML-3632,Woodland Heights,0.36,0.36,0.36,7.21
2019-03-14,41948,29,966267,14/03/2019:MML-3632,Woodland Heights,4.78,3.51,3.51,95.57
2019-03-14,4904,29,966261,14/03/2019:MML-3632,Woodland Heights,2.75,0.94,0.94,55.02
2019-03-18,7046,20,967329,18/03/2019:MML-5482,Woodland Heights,38.56,150.43,150.43,713.4
2019-03-19,4904,20,968348,19/03/2019:MML-5482,Woodland Heights,6.73,6.36,21.0,134.75
2019-03-19,35061,20,968350,19/03/2019:MML-5482,Woodland Heights,11.24,13.43,21.0,224.89
2019-03-19,36844,20,968349,19/03/2019:MML-5482,Woodland Heights,7.27,4.36,4.36,145.45
2019-03-19,12618,20,968347,19/03/2019:MML-5482,Woodland Heights,11.27,8.34,8.34,225.21
2019-03-19,32470,20,968395,19/03/2019:MML-5482,Woodland Heights,105.17,163.95,163.95,5819.54
2019-03-22,42996,29,970831,22/03/2019:MML-3632,Woodland Heights,0.89,1.68,3.0,17.8
2019-03-22,35700,29,970833,22/03/2019:MML-3632,Woodland Heights,6.93,7.49,15.0,138.6
2019-03-22,35700,29,970832,22/03/2019:MML-3632,Woodland Heights,0.98,0.01,0.01,19.49
2019-03-22,31930,29,970994,22/03/2019:MML-3632,Woodland Heights,38.28,114.75,114.75,638.0
